brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
guitareo;B.B. King;Paying The Cost To Be The Boss;Blues On Top Of Blues;Blues;7;200;bb-king-blues-on-top-of-blues.jpg;bb-king-paying-the-cost-to-be-the-boss-tab-standard.pdf;Paying The Cost To Be The Boss;25;JN5kc;Published;FALSE;bb-king-paying-the-cost-to-be-the-boss-tab.pdf;
guitareo;Backstreet Boys;I Want It That Way;Milennium;Pop;5;150;backstreet-boys-milennium.jpg;backstreet-boys-i-want-it-that-way-tab-standard.pdf;I Want It That Way;25;5qw4c;Published;FALSE;backstreet-boys-i-want-it-that-way-tab.pdf;
guitareo;Bastille;Pompeii;Bad Blood;Pop;4;150;bastille-bad-blood.jpg;bastille-pompeii-tab-standard.pdf;Pompeii;25;L4y4c;Published;FALSE;bastille-pompeii-tab.pdf;
guitareo;Belinda Carlisle;Heaven Is A Place On Earth;Heaven on Earth;Pop;5;150;belinda-carlisle-heaven-on-earth.jpg;belinda-carlisle-heaven-is-a-place-on-earth-tab-standard.pdf;Heaven Is A Place On Earth;25;yQw4c;Published;FALSE;belinda-carlisle-heaven-is-a-place-on-earth-tab.pdf;
guitareo;Belinda Carlisle;Mad About You;Belinda;Pop;3;100;belinda-carlisle-belinda.jpg;belinda-carlisle-mad-about-you-tab-standard.pdf;Mad About You;25;8yY4c;Published;FALSE;belinda-carlisle-mad-about-you-tab.pdf;
guitareo;Ben King;Stand By Me;Don't Play That Song!;R&B/Soul;5;150;ben-king-dont-play-that-song.jpg;ben-king-stand-by-me-tab-standard.pdf;Stand By Me;25;K1y4c;Published;FALSE;ben-king-stand-by-me-tab.pdf;
guitareo;Benny Blanco, Halsey, Khalid;Eastside;Friends Keep Secrets;Electronic;5;150;benny-blanco-halsey-khalid-friends-keep-secrets.jpg;benny-blanco-halsey-khalid-eastside-tab-standard.pdf;Eastside;25;9dy4c;Published;FALSE;benny-blanco-halsey-khalid-eastside-tab.pdf;
guitareo;Berlin;Take My Breath Away;Count Three & Pray;Pop;5;150;berlin-count-three-and-pray.jpg;berlin-take-my-breath-away-tab-standard.pdf;Take My Breath Away;25;Lrk4c;Published;FALSE;berlin-take-my-breath-away-tab.pdf;
guitareo;Bette Midler;The Rose;The Rose (Original Soundtrack Recording);Pop;5;150;bette-midler-the-rose-original-soundtrack-recording.jpg;bette-midler-the-rose-tab-standard.pdf;The Rose;25;xN44c;Published;FALSE;bette-midler-the-rose-tab.pdf;
guitareo;Beyoncé;If I Were A Boy;I Am... Sasha Fierce;Pop;5;150;beyonce-i-am-sasha-fierce.jpg;beyonce-if-i-were-a-boy-tab-standard.pdf;If I Were A Boy;25;NN44c;Published;FALSE;beyonce-if-i-were-a-boy-tab.pdf;
