brand;artist;title;album;style;difficulty;total_xp;artwork_filename;pdf_filename;assignment_title;assignment_xp;soundslice_slug;publishing_status;instrument_removed;pdf_filename_tabs_and_notation;content_id
drumeo;Them Crooked Vultures;New Fang;;;;;;;;;;;TRUE;;279350
drumeo;Theory Of A Deadman;Bad Girlfriend;;;;;;;;;;;TRUE;;374633
drumeo;They Might Be Giants;Boss Of Me;;;;;;;;;;;TRUE;;348774
drumeo;Thin Lizzy;Cowboy Song;;;;;;;;;;;TRUE;;285138
drumeo;Thin Lizzy;Don't Believe A Word;;;;;;;;;;;TRUE;;279354
drumeo;Thin Lizzy;Whiskey In The Jar;;;;;;;;;;;TRUE;;285140
drumeo;Thin Lizzy;Jailbreak;;;;;;;;;;;TRUE;;279352
drumeo;Third Eye Blind;Graduate;;;;;;;;;;;TRUE;;373848
drumeo;Third Eye Blind;Semi-Charmed Life;;;;;;;;;;;TRUE;;309175
drumeo;Three Days Grace;I Am Machine;;;;;;;;;;;TRUE;;373851
drumeo;Thundercat;Them Changes;;;;;;;;;;;TRUE;;264701
drumeo;Tiffany;I Think We're Alone Now;;;;;;;;;;;TRUE;;365683
drumeo;Till Lindemann;Ich Hasse Kinder;;;;;;;;;;;TRUE;;374582
drumeo;Tina Turner;What's Love Got To Do With It;;;;;;;;;;;TRUE;;270755
drumeo;TLC;Waterfalls;;;;;;;;;;;TRUE;;322480
drumeo;Tom Cochrane;Life Is A Highway;;;;;;;;;;;TRUE;;275806
drumeo;Tom Petty;A Mind With A Heart Of Its Own;;;;;;;;;;;TRUE;;296077
drumeo;Tom Petty;You Wreck Me;;;;;;;;;;;TRUE;;279356
drumeo;Tom Petty;Yer So Bad;;;;;;;;;;;TRUE;;296090
drumeo;Tom Petty;I Won’t Back Down;;;;;;;;;;;TRUE;;264705
drumeo;Tom Petty;Love Is A Long Road;;;;;;;;;;;TRUE;;296083
drumeo;Tom Petty;Runnin' Down A Dream;;;;;;;;;;;TRUE;;296086
drumeo;Tom Petty;A Face In The Crowd;;;;;;;;;;;TRUE;;296074
drumeo;Tom Petty;The Apartment Song;;;;;;;;;;;TRUE;;296088
