CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Course/Pack
23826	drumeo	Now	song	https://admin.musora.com/admin#/content/drumeo/23826	
23856	drumeo	The Ocean	song	https://admin.musora.com/admin#/content/drumeo/23856	
24076	drumeo	Adam's Accent Challenge	challenges	https://admin.musora.com/admin#/content/drumeo/24076	
24244	drumeo	Sweet Child O' Mine	song	https://admin.musora.com/admin#/content/drumeo/24244	
24252	drumeo	Don't Stop Believin'	song	https://admin.musora.com/admin#/content/drumeo/24252	
24391	drumeo	Hot For Teacher	song	https://admin.musora.com/admin#/content/drumeo/24391	
24882	drumeo	Teratogenesis	song	https://admin.musora.com/admin#/content/drumeo/24882	
24947	drumeo	Chop Suey!	song	https://admin.musora.com/admin#/content/drumeo/24947	
24985	drumeo	Homegrown Honey	song	https://admin.musora.com/admin#/content/drumeo/24985	
25024	drumeo	Quintuplet Sticking Challenge	challenges	https://admin.musora.com/admin#/content/drumeo/25024	
25244	drumeo	First Date	song	https://admin.musora.com/admin#/content/drumeo/25244	
25335	drumeo	Master Of Puppets	song	https://admin.musora.com/admin#/content/drumeo/25335	
25548	drumeo	Stockholm Syndrome	song	https://admin.musora.com/admin#/content/drumeo/25548	
25574	drumeo	Teratogenesis	play-along	https://admin.musora.com/admin#/content/drumeo/25574	
25684	drumeo	Become "One" With Your Sampling Pad #2	gear-guides	https://admin.musora.com/admin#/content/drumeo/25684	
25701	drumeo	Chick's Pain	play-along	https://admin.musora.com/admin#/content/drumeo/25701	
26195	drumeo	Livin' On A Prayer	song	https://admin.musora.com/admin#/content/drumeo/26195	
26501	drumeo	Dirty Sandwiches	play-along	https://admin.musora.com/admin#/content/drumeo/26501	
27164	drumeo	Are You Gonna Go My Way	song	https://admin.musora.com/admin#/content/drumeo/27164	
27190	drumeo	You Shook Me All Night Long	song	https://admin.musora.com/admin#/content/drumeo/27190	
27205	drumeo	The Self-Review Challenge	challenges	https://admin.musora.com/admin#/content/drumeo/27205	
27245	drumeo	Come Together	song	https://admin.musora.com/admin#/content/drumeo/27245	
27503	drumeo	Soria Moria	play-along	https://admin.musora.com/admin#/content/drumeo/27503	
27550	drumeo	Interview With David Garibaldi	podcasts	https://admin.musora.com/admin#/content/drumeo/27550	
27843	drumeo	Smooth	song	https://admin.musora.com/admin#/content/drumeo/27843	
27845	drumeo	Sugar	song	https://admin.musora.com/admin#/content/drumeo/27845	
28208	drumeo	Roland TD-50 Test Drive	gear-guides	https://admin.musora.com/admin#/content/drumeo/28208	
28218	drumeo	Walk This Way	song	https://admin.musora.com/admin#/content/drumeo/28218	
29092	drumeo	Give It Away	song	https://admin.musora.com/admin#/content/drumeo/29092	
29199	drumeo	New Moon Dance	play-along	https://admin.musora.com/admin#/content/drumeo/29199	
29244	drumeo	Wipe Out	song	https://admin.musora.com/admin#/content/drumeo/29244	
