CONTENT_ID	Brand	Lesson Title	Content Type	CMS URL	Permission IDs	Parent Title
322930	drumeo	The Todd Sucherman Show #41 - Songs In 7	coach-stream	https://admin.musora.com/admin#/content/drumeo/322930	92;94;78;88;89;90	
306483	drumeo	Domino Performs Live!	coach-stream	https://admin.musora.com/admin#/content/drumeo/306483	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
321078	drumeo	Playing An Arena Show	coach-stream	https://admin.musora.com/admin#/content/drumeo/321078	92;94;78;88;89;90	
323861	drumeo	A KAISO KRISTMAS!	coach-stream	https://admin.musora.com/admin#/content/drumeo/323861	92;94;78;88;89;90	
306474	drumeo	Struggle Street	coach-stream	https://admin.musora.com/admin#/content/drumeo/306474	92;94;78;88;89;90	
355760	drumeo	Loniel Robinson Of Miguel & Letlive - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/355760	92;94;78;88;89;90	
301389	drumeo	Discussing Musical Influences	coach-stream	https://admin.musora.com/admin#/content/drumeo/301389	92;94;78;88;89;90	
301370	drumeo	Q&A With Schack	coach-stream	https://admin.musora.com/admin#/content/drumeo/301370	92;94;78;88;89;90	
324186	drumeo	Tour Life Behind The Scenes Part 2	coach-stream	https://admin.musora.com/admin#/content/drumeo/324186	92;94;78;88;89;90	
301376	drumeo	Drumming Along With Ableton - Play-Alongs	coach-stream	https://admin.musora.com/admin#/content/drumeo/301376	92;94;78;88;89;90	
346231	drumeo	Click-A-Dee-Click - How To Feel It Instead of Just Hearing It - Q&A	coach-stream	https://admin.musora.com/admin#/content/drumeo/346231	92;94;78;88;89;90	
281238	drumeo	Welcome To Schack TV	coach-stream	https://admin.musora.com/admin#/content/drumeo/281238	92;94;78;88;89;90	
301378	drumeo	How To Turn Negative Ranting Into Positive Drumming	coach-stream	https://admin.musora.com/admin#/content/drumeo/301378	92;94;78;88;89;90	
295420	drumeo	Music As A Language	coach-stream	https://admin.musora.com/admin#/content/drumeo/295420	92;94;78;88;89;90	
292787	drumeo	The Todd Sucherman Show #17 - My Bird Performs - Revealed (And More)	coach-stream	https://admin.musora.com/admin#/content/drumeo/292787	92;94;78;88;89;90	
322933	drumeo	The Todd Sucherman Show #44 - Listening Party	coach-stream	https://admin.musora.com/admin#/content/drumeo/322933	92;94;78;88;89;90	
