Public/Owned	CONTENT_ID	MLC	ISRC	ISWC	TITLE	ARTIST	SMP	UMP	BMG	KOBALT	WCM	ABKCO	AUDIAM	BELIEVE	CONCORD	DMG	DST	HAL	HIPGNOSIS	PEER	RESERVOIR	ROUND HILL	SPIRIT	WIXEN	OTHER	Risk
FALSE	406940	M4931U		T9092071222	Mama	Toto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	Blue
FALSE	291654	M4931U		T9092071222	Mama	Toto	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	Blue
FALSE	395949	M49911	GBAMB7200010		Mona Lisas And Mad Hatters	Elton John	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	386408	M50130	USSM10003857		A Monday Date	Louis Armstrong and his Hot 5	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	385369	M50986	GBAJE6900313		Monkey Man	The Maytals	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	321200	M52018		T0100413431	Masoko Tanga	The Police	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	394003	M53791	GBAYK0200203	not found	Minstrel In The Gallery	Jethro Tull	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392743	M53791	GBAYK0200203	not found	Minstrel In The Gallery	Jethro Tull	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392868	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	392417	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
FALSE	389278	M56044		T0701137236	More Than A Feeling	Boston	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Blue
