id,type,brand,assignment_id,soundslice_slug,length_in_seconds
378140,song,guitareo,378141,Hl34c,213
378142,song,guitareo,378143,yv34c,227
378144,song,guitareo,378145,mHgkc,215
378146,song,guitareo,378147,JS5kc,202
378148,song,guitareo,378149,ZjX4c,341
378150,song,guitareo,378151,lJGkc,179
378152,song,guitareo,378153,55X4c,268
378154,song,guitareo,378155,4sgkc,253
378156,song,guitareo,378157,MgX4c,232
378158,song,guitareo,378159,9gX4c,246
378160,song,guitareo,378161,6gX4c,181
378162,song,guitareo,378163,3RX4c,166
378164,song,guitareo,378165,2N24c,244
378166,song,guitareo,378167,M6X4c,202
378168,song,guitareo,378169,n6X4c,336
378170,song,guitareo,378171,9tX4c,287
378172,song,guitareo,378173,kS34c,193
378174,song,guitareo,378175,LGX4c,289
378176,song,guitareo,378177,Lcq4c,211
378178,song,guitareo,378179,tj34c,231
378180,song,guitareo,378181,SmX4c,288
378182,song,guitareo,378183,dMl4c,231
378184,song,guitareo,378185,v9R4c,283
378186,song,guitareo,378187,TGR4c,199
378188,song,guitareo,378189,DDGkc,164
378190,song,guitareo,378191,p2R4c,205
378192,song,guitareo,378193,kCR4c,201
378194,song,guitareo,378195,YCR4c,209
378196,song,guitareo,378197,lN44c,305
378198,song,guitareo,378199,yvX4c,266
378200,song,guitareo,378201,XvX4c,235
378202,song,guitareo,378203,vxX4c,229
378204,song,guitareo,378205,5pgkc,145
378206,song,guitareo,378207,ndc4c,136
378208,song,guitareo,378209,yyX4c,240
378210,song,guitareo,377937,qS34c,271
378211,song,guitareo,378212,MzX4c,250
378213,song,guitareo,378214,BzX4c,246
378215,song,guitareo,378216,c9R4c,262
378217,song,guitareo,378218,lxX4c,231
378219,song,guitareo,378220,ktX4c,201
378221,song,guitareo,378222,Nqz4c,286
378223,song,guitareo,378224,PtX4c,249
378225,song,guitareo,378083,sDq4c,202
378226,song,guitareo,378227,zStkc,232
378228,song,guitareo,378229,Fwz4c,240
378230,song,guitareo,378231,qDq4c,232
378232,song,guitareo,378233,8sq4c,163
378234,song,guitareo,378235,-dGkc,410
378236,song,guitareo,378237,yqz4c,326
378238,song,guitareo,378239,V144c,389
378240,song,guitareo,378241,6p5kc,237
378242,song,guitareo,378243,dpX4c,224
378244,song,guitareo,378245,LXR4c,247
378246,song,guitareo,222505,2rz4c,271
378247,song,guitareo,383879,NCC4c,283
378248,song,guitareo,383876,SQz4c,195
378249,song,guitareo,383877,nXR4c,279
378250,song,guitareo,378251,HV6kc,171
378252,song,guitareo,378253,Ntgkc,160
378254,song,guitareo,378255,43X4c,301
378256,song,guitareo,378257,qCX4c,187
378258,song,guitareo,378259,4yGkc,183
378260,song,guitareo,378261,TM34c,124
378262,song,guitareo,378263,xWpkc,295
378264,song,guitareo,378265,qkz4c,258
378266,song,guitareo,378267,jGSkc,160
378268,song,guitareo,378269,96Skc,198
378270,song,guitareo,378271,pJgkc,265
378272,song,guitareo,378273,sbGkc,217
378274,song,guitareo,378275,cbgkc,127
378276,song,guitareo,378277,HXq4c,231
378278,song,guitareo,378279,rMl4c,234
378280,song,guitareo,378281,Qc6kc,152
378282,song,guitareo,378283,Lgc4c,116
378284,song,guitareo,378285,Ycvkc,317
378286,song,guitareo,378287,qZ34c,266
378288,song,guitareo,378289,7dq4c,199
378290,song,guitareo,378291,xdq4c,260
378292,song,guitareo,378293,tdq4c,298
378294,song,guitareo,378295,hdq4c,275
378296,song,guitareo,378297,c7q4c,266
378298,song,guitareo,378299,sVX4c,236
378300,song,guitareo,378301,cQ34c,160
378302,song,guitareo,378303,yqR4c,236
378304,song,guitareo,383466,FwX4c,209
378305,song,guitareo,378306,lr34c,310
378307,song,guitareo,378308,hVGkc,173
378309,song,guitareo,378310,dvX4c,221
378311,song,guitareo,378312,65X4c,207
378313,song,guitareo,378314,ybw4c,266
378315,song,guitareo,378316,TfGkc,264
378317,song,guitareo,378318,ZpX4c,203
378319,song,guitareo,378320,rBR4c,228
378321,song,guitareo,378322,HmR4c,232
378323,song,guitareo,378324,P934c,234
378325,song,guitareo,378326,Rx34c,238
378327,song,guitareo,378328,H-34c,203
378329,song,guitareo,378330,KCX4c,165
378331,song,guitareo,378332,kfGkc,189
378333,song,guitareo,378334,bQX4c,273
378335,song,guitareo,378336,TjX4c,138
378337,song,guitareo,378338,MYX4c,146
378339,song,guitareo,378340,LBpkc,125
378341,song,guitareo,378342,LJGkc,147
378343,song,guitareo,378344,dnGkc,161
378345,song,guitareo,378346,wcgkc,166
378347,song,guitareo,378348,DcX4c,124
378349,song,guitareo,378350,G8Gkc,240
378351,song,guitareo,378352,XdGkc,231
378353,song,guitareo,378354,HJGkc,139
378355,song,guitareo,378356,3f6kc,133
378357,song,guitareo,378358,m2pMc,149
378359,song,guitareo,378360,cStkc,123
378361,song,guitareo,378362,lbw4c,163
378363,song,guitareo,378364,QVq4c,116
378365,song,guitareo,378366,Dfq4c,140
378367,song,guitareo,378368,-Rq4c,177
378369,song,guitareo,378370,yHX4c,189
378371,song,guitareo,378372,V2q4c,155
378373,song,guitareo,378374,cfGkc,189
378375,song,guitareo,378376,kp5kc,146
378377,song,guitareo,378378,KpX4c,192
378379,song,guitareo,378380,XNq4c,265
378381,song,guitareo,378382,7Nq4c,238
378383,song,guitareo,378384,FNq4c,222
