id,slug,title,brand,type,difficulty,xp,status,published_on,total_xp,parent_id,child_position,soundslice_slug,registration_url,topic,instructor,description,thumbnail_url,original_thumbnail_url,logo_image_url,header_image_url,chapter_1_desc,chapter_2_desc,chapter_3_desc,chapter_4_desc,chapter_5_desc,chapter_6_desc,chapter_1_timecode,chapter_2_timecode,chapter_3_timecode,chapter_4_timecode,chapter_5_timecode,chapter_6_timecode,duration,vimeo_video_id,youtube_video_id
398589,paradiddle-chops-lesson-workout-1,Paradiddle Chops | Lesson & Workout 1,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,2,5-4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-01-1682942548.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-01-1682942548.jpg,NULL,NULL,Paradiddle Groove,Left-Hand Paradiddle On Beat 4,Add Two Bass Drums,Snare/Toms Paradiddles,Back-To-Back Paradiddles,Wrap-Up,121,217,313,409,601,697,715,831309461,NULL
398590,paradiddle-chops-workout-2,Paradiddle Chops | Workout 2,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,3,g-4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-02-1682942597.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-02-1682942597.jpg,NULL,NULL,Hi-Hat Paradiddle Groove,Back-To-Back Paradiddles,Add A Bass Drum,Ride Paradiddle Groove,Snare/Toms Paradiddles,Wrap-Up,20,116,212,308,404,596,609,831309613,NULL
398591,paradiddle-chops-workout-3,Paradiddle Chops | Workout 3,drumeo,challenge-part,5,105,published,2023-12-28 08:01:00,105,398587,4,6-4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-03-1682944141.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-03-1682944141.jpg,NULL,NULL,Left-Hand Paradiddle On Beat 4,Add Two Bass Drums,Add Floor Tom,Right Hand On Ride Cymbal,Overall Combination,Wrap-up,19,217,307,403,499,591,615,831309714,NULL
398592,paradiddle-chops-workout-4,Paradiddle Chops | Workout 4,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,5,G-4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-04-1682946691.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-04-1682946691.jpg,NULL,NULL,2 Bar Paradiddle Groove,Add Bass Drums,Right-Hand On Ride Cymbal,Add in the Crash Cymbal,Add In The Ending Lick,Wrap-Up,23,119,311,407,503,599,620,831309825,NULL
398593,paradiddle-chops-workout-5,Paradiddle Chops | Workout 5,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,6,r-4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-05-1682948568.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-05-1682948568.jpg,NULL,NULL,Paradiddle Groove,Add Bass Drums,Hi-Hat Paradiddle Groove,Add Toms,Right-Hand On Ride Cymbal,Wrap-Up,29,139,249,358,468,578,594,887718679,NULL
398594,doubles-inverted-doubles-lesson-workout-1,Doubles & Inverted Doubles | Lesson & Workout 1,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,7,NQ4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-07-1702409949.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-07-1702409949.jpg,NULL,NULL,Inverted Double Groove,Add Inverted Double On Beat 4,Add Two Bass Drums,Moving The Right Hand,Moving The Left Hand,Wrap-Up,162,258,354,450,546,738,759,832353552,NULL
398595,doubles-inverted-doubles-workout-2,Doubles & Inverted Doubles | Workout 2,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,8,cQ4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-08-1702409969.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-08-1702409969.jpg,NULL,NULL,Inverted Double Groove,Right-Hand Double On Beat 2,Add Doubles On Floor Tom,Move Left Hand To Tom 1,Right-Hand On Ride Cymbal,Wrap-Up,25,217,313,409,505,605,630,832356825,NULL
398596,doubles-inverted-doubles-workout-3,Doubles & Inverted Doubles | Workout 3,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,9,VQ4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-09-1702410115.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-09-1702410115.jpg,NULL,NULL,Inverted Double Groove,Right-Hand Double On Beat 2,Left-Hand Doubles On Beat 4,Add Hands & Feet Splits On Beat 4,Add Hands & Feet Splits On Beat 3,Wrap-Up,33,129,225,417,513,609,639,833478899,NULL
398597,doubles-inverted-doubles-workout-4,Doubles & Inverted Doubles | Workout 4,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,10,fQ4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-10-1702410136.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-10-1702410136.jpg,NULL,NULL,Accent On The a Of 3,Add Open HiHat On The & Of 4,Right Hand On Ride Cymbal,Add Hands & Feet Splits On Beat 3 & 4,Invert Doubles On Beat 3 & 4,Wrap-Up,26,218,314,410,506,602,632,832361738,NULL
398598,doubles-inverted-doubles-workout-5,Doubles & Inverted Doubles | Workout 5,drumeo,challenge-part,5,150,published,2023-12-28 08:01:00,150,398587,11,DQ4Yc,NULL,NULL,Zack Grooves,NULL,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-11-1702410149.jpg,https://d1923uyy6spedc.cloudfront.net/30-Day-Chops-Update-2023-11-1702410149.jpg,NULL,NULL,Inverted Double Groove,Accent On The e Of 1,Add More Accents,Right Hand On Ride Cymbal,Add Hands & Feet Splits,Wrap-Up,34,144,214,363,473,583,600,887719253,NULL
