Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Status - Workouts,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
5-Minute Finger Stretch,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDhttps://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMUTUvuOievNGNelHcSEHCMU,889543458,384,Y1Nwc,Roots:47,Separated:124,Separated #2:201,Add In Rhythm:316,Outro:354,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/5-Minute-Finger-Stretch.jpg,Vimeo,5minute-finger-stretch.jpg
10-Minute Electric Warmup,Launch Workouts (January 1st),,,No,200,Andrew Clarke,Ready,Pop,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,885398215,634,Ylxwc,Muted Strums:26,G Chord:218,G And C Chord:266,"G, C, And D Chord:314",Single Notes Warmup:434,Outro:626,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/10-Minute-Beginner-Electric-Warmup.jpg,Vimeo,10minute-electric-warmup.jpg
Bending Fundamentals,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889553701,370,tSWwc,Slow Bend/Fast Bend:18,Bend/Choke:210,Bend/Vibrato:269,Wrap Up:343,,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Bending-Fundamentals.jpg,Vimeo,bending-fundamentals.jpg
E Minor Pentatonic Scale Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,890152468,639,8pWwc,6th And 5th Strings:17,4th String:101,3rd String:179,2nd String:281,1st String:407,Outro:629,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-E-Minor-Pentatonic-Scale-Foundations.jpg,Vimeo,e-minor-pentatonic-scale-foundations.jpg
E Minor Blues Scale Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Blues,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,878086845,681,GpWwc,6th And 5th Strings:20,4th String:110,3rd String:188,2nd String:284,1st String:398,Wrap Up:659,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-E-Minor-Blues-Scale-Foundations.jpg,Vimeo,e-minor-blues-scale-foundations.jpg
A Minor Blues Scale Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Blues,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889536805,668,KpWwc,6th And 5th Strings:15,4th String:105,3rd String:183,2nd String:279,1st String:393,Outro:651,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-A-Minor-Blues-Scale-Foundations.jpg,Vimeo,a-minor-blues-scale-foundations.jpg
A Minor Pentatonic Scale Foundations,Launch Workouts (January 1st),,,No,200,Ayla Tesler-Mabe,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889648366,639,3pWwc,6th And 5th Strings:18,4th String:102,3rd String:180,2nd String:282,1st String:408,Outro:630,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Beginner-A-Minor-Pentatonic-Scale-Foundations.jpg,Vimeo,a-minor-pentatonic-scale-foundations.jpg
A Minor Pentatonic Variations,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,889547097,679,3YNwc,Exercise #1:23,Exercise #2:200,Exercise #3:370,Exercise #4:554,Wrap Up:650,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/Intermediate-A-Minor-Pentatonic-Variations.jpg,Vimeo,a-minor-pentatonic-variations.jpg
3 Note Per String Scale Warmup,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888552765,695,-lhwc,Exercise #1:50,Exercise #2:114,Exercise #3:178,Exercise #4:242,Exercise #5:434,Wrap Up:642,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/3-Note-Per-String-Scale.jpg,Vimeo,3-note-per-string-scale-warmup.jpg
10-Minute Minor Arpeggio Warmup,Launch Workouts (January 1st),,,No,200,Kent Shores,Ready,Rock,Electric,,https://drive.google.com/drive/folders/17EmazrW4DmDTUvuOievNGNelHcSEHCMU?usp=drive_link,888553442,681,wf6wc,Exercise #1:49,Exercise #2:199,Exercise #3:348,Exercise #4:497,Wrap Up:636,,https://musora-web-platform.s3.amazonaws.com/workouts/guitareo/10-Minute-Minor-Arpeggio-Warmup.jpg,Vimeo,10minute-minor-arpeggio-warmup.jpg
