id,type,title,Genre,Essentials-1,Essentials-2,Theory-1,Theory-2,Creativity-1,Creativity-2,Lifestyle-1,Lifestyle-2
306469,coach-stream,Q&A With Larnell,,,,,,Grooves,Fills & Chops,,
306475,coach-stream,Drum Workout Session: Fills and Drills,Pop/Rock,,,,,Double Bass,,,
306476,coach-stream,Let's Talk!,,,,,,,,Gigging Tips & Gear,Performance
306477,coach-stream,Trading?! What's That?,,,,,,,,,
306478,coach-stream,Drum Fill Workout,,,,,,,,,
306481,coach-stream,From Pop To Rock,,,,,,,,,Gigging Tips & Gear
306482,coach-stream,Q&A With Domino!,,,,,,,,,
306485,coach-stream,Domino Vs. The iTunes Charts,,,,,,,,,Other
306487,coach-stream,Ask Me Anything – Q&A With Domino!,Jazz/Blues,,,,,Grooves,,,
306489,coach-stream,Copyrights & Social Media,,,,,,,,,Performance
306490,coach-stream,Live Requests And Q&A With Domino!,,,,,,,,,Other
30650,boot-camps,Beginner's Bass Drum Boot Camp,,,,,,,,,
306500,coach-stream,Breaking The Beats Without Breaking The Bank,,Rudiments,,,,,,,
306501,coach-stream,Ask Me Anything! Q&A With Schack,,,,,,,,,Other
306506,coach-stream,Drumming Along With Ableton: Triggering From Your Drum Kit,,,,,,,,Other,Gigging Tips & Gear
306507,coach-stream,"Ouch, My Feet Herta!",,,,,,,,,Other
306508,coach-stream,"Wham, Bam, Flam!",,,,,,,,,
306509,coach-stream,Schack Answers Your Questions!,,Rudiments,,Time Signatures,,,,,Other
306512,coach-stream,The Todd Sucherman Show #29 - The Stewart Copeland Effect,,,,,,,,,
306518,coach-stream,The Todd Sucherman Show #35 - Icy Skies Part 1,,,,,,Fills & Chops,,,
30652,gear-guides,Everything You Need To Know About Cases,,Foot Technique,,,,Grooves,,,
306520,coach-stream,"The Todd Sucherman Show #37 - Paradiddles In 5, 7, 9, 11 & 13",,Rudiments,,,,,,,
306521,coach-stream,The Todd Sucherman Show #38 - Songs In 9,,,,,,Grooves,,,Other
306542,coach-stream,How Do You Get Your Dream Gig?,,,,,,,,,
306543,coach-stream,Exploring The Swiss Army Triplet,,Rudiments,,,,,,,
306551,coach-stream,"I Don't Care What You Call Me, Just Call Me!",,,,,,,,,
306555,coach-stream,Flam Accents,,,,,,,,,Performance
306556,coach-stream,Flam Accent Etude In Rudimental Remedies,,,,,,Making Music,,,Gigging Tips & Gear
306557,coach-stream,The Downfall Of Paris,,,,,,,,,
306558,coach-stream,London Bridge Is Falling Down,,,,,,,,,Other
306559,coach-stream,Street Beat: Level Four,,,,,,,,,
306561,coach-stream,Rolling On The Beach,,,,,,Grooves,,,Gigging Tips & Gear
306565,coach-stream,Discussing Self Expression,,Rudiments,,,,,,,
306566,coach-stream,July Recap & Q&A With Aric Improta,,,,,,,,,Gigging Tips & Gear
306572,coach-stream,Tour Stories,,Rudiments,,,,,,,
306575,coach-stream,The Music That Made Me,,,,,,,,,Other
306581,coach-stream,How I Create My Online Drum Lessons,,,,,,,,,Performance
306593,coach-stream,The Wheel Of Genres!,,,,,,,,,
306594,coach-stream,Kaz's Drum Set & Studio Gear,,,,,,,,,
306595,coach-stream,Kaz Performs Live On Drumeo!,,,,,,,,,
306596,coach-stream,10 Drum Chops To Rule Them All,,,,,,,,,
306688,performances,"Devin Townsend Project - ""Planet Of The Apes""",,,,,,,,,Gigging Tips & Gear
306689,quick-tips,"5 Levels Of ""Take Five""",Latin/World,,,,,Independence,,,
30683,challenges,5 Beginner Beats That Challenge Your Independence,,Rudiments,,,,,Fills & Chops,,
307472,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Fundamentals I,,Rudiments,Hand Technique,,,,,,
307473,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Rudimental Vocabulary I,,Rudiments,Hand Technique,,,,,,
307474,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Jammin’ In The Drum Line I,,,,,,,,,Other
307475,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Fundamentals II,,Rudiments,Hand Technique,,,,,,
307476,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Rudimental Vocabulary II,,,,,,,,,
307477,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Jammin’ In The Drum Line II,,Rudiments,Hand Technique,,,,,,
307478,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Fundamentals III,,,,,,,,,
307479,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Rudimental Vocabulary III,,Rudiments,Hand Technique,,,,,,
307480,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Jammin’ In The Drum Line III,,Rudiments,Hand Technique,,,,,,
307482,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Fundamentals IV,,,,,,,,,
307484,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Rudimental Vocabulary IV,,Rudiments,Hand Technique,,,,,,
307485,coach-stream,Dr. Throwdown’s Drum Line Summer Camp - Jammin’ In The Drum Line IV,,Rudiments,Hand Technique,,,,,,
