title,brand,type,difficulty,xp,registration_url,topic,style,instructor,description,permissions,status,published_on,enrollment_start_date,enrollment_end_date,original_thumbnail_url,thumbnail_url,logo_image_url,header_image_url,parent,video,soundslice_slug,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Video Host
Adding Fills & Crashes - Workout 4,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day14-1702424251.jpg,https://d1923uyy6spedc.cloudfront.net/Day14-1702424251.jpg,,,30-Day Drummer,887788699,vK4Yc,,,,,,,Vimeo
Adding Fills & Crashes - Workout 5,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day15-1702424440.jpg,https://d1923uyy6spedc.cloudfront.net/Day15-1702424440.jpg,,,30-Day Drummer,887788792,SK4Yc,,,,,,,Vimeo
Your First Song - Lesson & Workout 1,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day16-1702424680.jpg,https://d1923uyy6spedc.cloudfront.net/Day16-1702424680.jpg,,,30-Day Drummer,887789260,pK4Yc,,,,,,,Vimeo
Your First Song - Workout 2,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day17-1702424805.jpg,https://d1923uyy6spedc.cloudfront.net/Day17-1702424805.jpg,,,30-Day Drummer,887789332,Nx4Yc,,,,,,,Vimeo
Your First Song - Workout 3,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day18-1702424875.jpg,https://d1923uyy6spedc.cloudfront.net/Day18-1702424875.jpg,,,30-Day Drummer,887789394,cx4Yc,,,,,,,Vimeo
Your First Song - Workout 4,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day19-1702424930.jpg,https://d1923uyy6spedc.cloudfront.net/Day19-1702424930.jpg,,,30-Day Drummer,887789466,Vx4Yc,,,,,,,Vimeo
Your First Song - Workout 5,drumeo,challenge-part,1,100,,,,Domino Santantonio,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/Day20-1702424984.jpg,https://d1923uyy6spedc.cloudfront.net/Day20-1702424984.jpg,,,30-Day Drummer,887789522,fx4Yc,,,,,,,Vimeo
Sing Better In 30 Days!,singeo,challenge,1,100,,Essentials,,Lisa Witt,,"73,90,91,92",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards_Mobile-16x9-1701276178.jpg,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards_Mobile-16x9-1701276178.jpg,https://d1923uyy6spedc.cloudfront.net/BetterSingerIn30Days-CourseCards-05-1702568047.svg,https://d1923uyy6spedc.cloudfront.net/test4-1702671467.jpg,,,,,,,,,,
Course Kick-Off,singeo,challenge-part,1,100,,,,Lisa Witt,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-21-1701204663.jpg,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-21-1701204663.jpg,,,Sing Better In 30 Days!,889601380,,,,,,,,Vimeo
Day 1 - Finding Your Breath,singeo,challenge-part,1,100,,,,Lisa Witt,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-01-1701203424.jpg,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-01-1701203424.jpg,,,Sing Better In 30 Days!,889602567,gdwYc,,,,,,,Vimeo
Day 2 - The Most Important Vocal Exercises,singeo,challenge-part,1,100,,,,Lisa Witt,,"1,78,91,92 ,101",published,2023-12-28 08:01:00,,,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-02-1701203440.jpg,https://d1923uyy6spedc.cloudfront.net/SingBetterIn30Days-02-1701203440.jpg,,,Sing Better In 30 Days!,889603297,6dwYc,,,,,,,Vimeo
