Name,Section/Column,Due Date,Tags,Copyright,XP,Instructor,Style,Topic Filter,Difficulty,Asset Folder,Video ID - Workouts,Duration,SSID - Workouts,Chapter 1,Chapter 2,Chapter 3,Chapter 4,Chapter 5,Chapter 6,Thumbnail URL,Video Host,Thumbnail Name
C Major 12-Bar Blues Progression,January 1st Workouts Launch,,,No,200,Kevin Castro,Blues,Styles,3,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888804275,388,QwwYc,Shells:20,Triads:89,First Inversions:142,Experiment:203,Hands Together:272,Outro:341,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/c-major-12bar-blues-progression.jpg,Vimeo,c-major-12bar-blues-progression.jpg
C Major Blues 7th Chords,January 1st Workouts Launch,,,No,200,Kevin Castro,Blues,Styles,5,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888803202,364,vywYc,12-Bar Blues Progression:25,7th Chords - Right Hand:93,Triads - Left Hand:208,7th Chords - Left Hand:253,Wrap-Up:346,,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/c-major-blues-7th-chords.jpg,Vimeo,c-major-blues-7th-chords.jpg
C Major Boogie Pattern,January 1st Workouts Launch,,,No,200,Kevin Castro,Blues,Styles,5,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888896696,369,J7YYc,Chord Progression:23,Boogie Pattern Introduction:92,Slide & Dominant 7ths:160,Alternate Fingering:252,Hands Together:297,Wrap-Up:343,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/c-major-boogie-pattern.jpg,Vimeo,c-major-boogie-pattern.jpg
C Major Blues Scale,January 1st Workouts Launch,,,No,200,Kevin Castro,Blues,Styles,5,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888897898,361,1NlYc,12-Bar Blues Progression:18,Blues Scale Ascending - Right Hand:40,Descending - Right Hand:200,Ascending & Descending:246,Blues Scale Melody:292,Wrap-Up:337,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/c-major-blues-scale.jpg,Vimeo,c-major-blues-scale.jpg
C Minor Blues Scale,January 1st Workouts Launch,,,No,200,Kevin Castro,Blues,Styles,5,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888898261,366,yclYc,Chord Progression:19,Blues Scale - Ascending:42,Blues Scale - Descending:156,Ascending & Descending:202,Blues Scale Melody:294,Wrap-Up:339,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/c-minor-blues-scale.jpg,Vimeo,c-minor-blues-scale.jpg
Beginner Jazz 2-5-1,January 1st Workouts Launch,,,No,200,Kevin Castro,Jazz,Styles,3,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888774848,351,sZwYc,Right Hand - Triads:52,Right Hand - 7th Chords:104,Left Hand:191,Back to Right Hand 7ths:278,Hands Together:313,Outro:334,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-jazz-251.jpg,Vimeo,beginner-jazz-251.jpg
Beginner Jazz Comping,January 1st Workouts Launch,,,No,200,Kevin Castro,Jazz,Styles,3,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888807376,376,V9wYc,Right Hand - Straight Rhythm:71,Right Hand - Swing Rhythm:150,Add Left Hand Root Notes:176,Dynamics & Rhythm Experimentation:211,Improvise - Hands Together:315,Wrap-Up:351,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/beginner-jazz-comping.jpg,Vimeo,beginner-jazz-comping.jpg
2-5-1 Progression In Every Key — Part 1,January 1st Workouts Launch,,,No,200,Kevin Castro,Jazz,Styles,6,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888899503,329,mclYc,Intro:0,Chord Explanation:15,Slow Loop Walkthrough:68,Wrap-Up:306,,,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/251-progression-in-every-key--part-1.jpg,Vimeo,251-progression-in-every-key--part-1.jpg
2-5-1 Progression In Every Key — Part 2,January 1st Workouts Launch,,,No,200,Kevin Castro,Jazz,Styles,6,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888900284,325,hVlYc,Intro:0,Chord Explanation:15,Loop Walkthrough:56,Wrap-Up:293,,,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/251-progression-in-every-key--part-2.jpg,Vimeo,251-progression-in-every-key--part-2.jpg
Odd Time Signature in 7/4,January 1st Workouts Launch,,,No,200,Kevin Castro,R&B/Soul,Styles,5,https://drive.google.com/drive/folders/1BPOKgFgxhbK617fIo77r2iV2pjHfIdSr?usp=drive_link,888809123,345,HwwYc,Intro:0,How To Count:19,Count On Your Own:127,Feel The Metre:154,Add Chords:181,Wrap-Up:327,https://musora-web-platform.s3.amazonaws.com/workouts/pianote/odd-time-signature-in-74.jpg,Vimeo,odd-time-signature-in-74.jpg
